Time	Current
 0.00000	6.6384e-09
 0.00054	6.8150e-09
 0.00108	7.0857e-09
 0.00162	7.4453e-09
 0.00216	7.8321e-09
 0.00270	8.1607e-09
 0.00324	8.3773e-09
 0.00378	8.5303e-09
 0.00432	8.6615e-09
 0.00486	8.8480e-09
 0.00540	9.0710e-09
 0.00594	9.2636e-09
 0.00648	9.3752e-09
 0.00702	9.3991e-09
 0.00756	9.3692e-09
 0.00810	9.3211e-09
 0.00864	9.2730e-09
 0.00918	9.2269e-09
 0.00972	9.1893e-09
 0.01026	9.1543e-09
 0.01080	9.1269e-09
 0.01134	9.1103e-09
 0.01188	9.1023e-09
 0.01242	9.1043e-09
 0.01296	9.1249e-09
 0.01350	9.2346e-09
 0.01404	9.4604e-09
 0.01458	9.8297e-09
 0.01512	1.0305e-08
 0.01566	1.0754e-08
 0.01620	1.1028e-08
 0.01674	1.1038e-08
 0.01728	1.0804e-08
 0.01782	1.0399e-08
 0.01836	9.8904e-09
 0.01890	9.3247e-09
 0.01944	8.7236e-09
 0.01998	8.0762e-09
 0.02052	7.3973e-09
 0.02106	6.7138e-09
 0.02160	6.0618e-09
 0.02214	5.4895e-09
 0.02268	5.0403e-09
 0.02322	4.7206e-09
 0.02376	4.5000e-09
 0.02430	4.3336e-09
 0.02484	4.1958e-09
 0.02538	4.0740e-09
 0.02592	3.9588e-09
 0.02646	3.8434e-09
 0.02700	3.7251e-09
 0.02754	3.6017e-09
 0.02808	3.4744e-09
 0.02862	3.2720e-09
 0.02916	2.9665e-09
 0.02970	2.5124e-09
 0.03024	1.9169e-09
 0.03078	1.2724e-09
 0.03132	7.1287e-10
 0.03186	3.2824e-10
 0.03240	1.3610e-10
 0.03294	8.5402e-11
 0.03348	1.2496e-10
 0.03402	2.0863e-10
 0.03456	2.8419e-10
 0.03510	3.1381e-10
 0.03564	2.8164e-10
 0.03618	2.0555e-10
 0.03672	1.2182e-10
 0.03726	5.8461e-11
 0.03780	2.1316e-11
 0.03834	5.5414e-12
 0.03888	3.1809e-13
 0.03942	6.9389e-24
 0.03996	6.9389e-24
 0.04050	6.9389e-24
 0.04104	6.9389e-24
 0.04158	6.9389e-24
 0.04212	6.9389e-24
 0.04266	6.9389e-24
 0.04320	6.9389e-24
 0.04374	6.9389e-24
 0.04428	6.9389e-24
 0.04482	6.9389e-24
 0.04536	6.9389e-24
 0.04590	6.9389e-24
 0.04644	6.9389e-24
 0.04698	6.9389e-24
 0.04752	6.9389e-24
 0.04806	6.9389e-24
 0.04860	6.2584e-13
 0.04914	2.8551e-12
 0.04968	8.0682e-12
 0.05022	1.7704e-11
 0.05076	3.2316e-11
 0.05130	5.1353e-11
 0.05184	7.3207e-11
 0.05238	9.6221e-11
 0.05292	1.1915e-10
 0.05346	1.4121e-10
 0.05400	1.6094e-10
 0.05454	1.7711e-10
 0.05508	1.8918e-10
 0.05562	1.9751e-10
 0.05616	2.0456e-10
 0.05670	2.1419e-10
 0.05724	2.2952e-10
 0.05778	2.5112e-10
 0.05832	2.7729e-10
 0.05886	3.0555e-10
 0.05940	3.3390e-10
 0.05994	3.6095e-10
 0.06048	3.8599e-10
 0.06102	4.0869e-10
 0.06156	4.2859e-10
 0.06210	4.4534e-10
 0.06264	4.5886e-10
 0.06318	4.6927e-10
 0.06372	4.7689e-10
 0.06426	4.8237e-10
 0.06480	4.8639e-10
 0.06534	4.8965e-10
 0.06588	4.9257e-10
 0.06642	4.9529e-10
 0.06696	4.9795e-10
 0.06750	5.0061e-10
 0.06804	5.0319e-10
 0.06858	5.0570e-10
 0.06912	5.0821e-10
 0.06966	5.1080e-10
 0.07020	5.1355e-10
 0.07074	5.1651e-10
 0.07128	5.1953e-10
 0.07182	5.2238e-10
 0.07236	5.2480e-10
 0.07290	5.2670e-10
 0.07344	5.2821e-10
 0.07398	5.2946e-10
 0.07452	5.3057e-10
 0.07506	5.3175e-10
 0.07560	5.3310e-10
 0.07614	5.3465e-10
 0.07668	5.3631e-10
 0.07722	5.3798e-10
 0.07776	5.3963e-10
 0.07830	5.4123e-10
 0.07884	5.4279e-10
 0.07938	5.4433e-10
 0.07992	5.4582e-10
 0.08046	5.4729e-10
 0.08100	5.4875e-10
 0.08154	5.5030e-10
 0.08208	5.5193e-10
 0.08262	5.5356e-10
 0.08316	5.5515e-10
 0.08370	5.5673e-10
 0.08424	5.5836e-10
 0.08478	5.5999e-10
 0.08532	5.6158e-10
 0.08586	5.6319e-10
 0.08640	5.6479e-10
 0.08694	5.6633e-10
 0.08748	5.6788e-10
 0.08802	5.6945e-10
 0.08856	5.7100e-10
 0.08910	5.7255e-10
 0.08964	5.7482e-10
 0.09018	5.8015e-10
 0.09072	5.8759e-10
 0.09126	5.9713e-10
 0.09180	6.0613e-10
 0.09234	6.1070e-10
 0.09288	6.0910e-10
 0.09342	6.0324e-10
 0.09396	5.9706e-10
 0.09450	5.9318e-10
 0.09504	5.9192e-10
 0.09558	5.9228e-10
 0.09612	5.9376e-10
 0.09666	5.9543e-10
 0.09720	5.9708e-10
 0.09774	5.9870e-10
 0.09828	6.0035e-10
 0.09882	6.0207e-10
 0.09936	6.0386e-10
 0.09990	6.0582e-10
 0.10044	6.0797e-10
 0.10098	6.1031e-10
 0.10152	6.1275e-10
 0.10206	6.1534e-10
 0.10260	6.1802e-10
 0.10314	6.2077e-10
 0.10368	6.2353e-10
 0.10422	6.2637e-10
 0.10476	6.2931e-10
 0.10530	6.3232e-10
 0.10584	6.3537e-10
 0.10638	6.3856e-10
 0.10692	6.4188e-10
 0.10746	6.4542e-10
 0.10800	6.4924e-10
 0.10854	6.5327e-10
 0.10908	6.5750e-10
 0.10962	6.6189e-10
 0.11016	6.6641e-10
 0.11070	6.7115e-10
 0.11124	6.7615e-10
 0.11178	6.8134e-10
 0.11232	6.8662e-10
 0.11286	6.9185e-10
 0.11340	6.9705e-10
 0.11394	7.0229e-10
 0.11448	7.0756e-10
 0.11502	7.1291e-10
 0.11556	7.1833e-10
 0.11610	7.2387e-10
 0.11664	7.2963e-10
 0.11718	7.3559e-10
 0.11772	7.4177e-10
 0.11826	7.4823e-10
 0.11880	7.5500e-10
 0.11934	7.6220e-10
 0.11988	7.6977e-10
 0.12042	7.7758e-10
 0.12096	7.8556e-10
 0.12150	7.9361e-10
 0.12204	8.0182e-10
 0.12258	8.1024e-10
 0.12312	8.1896e-10
 0.12366	8.2790e-10
 0.12420	8.3707e-10
 0.12474	8.4643e-10
 0.12528	8.5598e-10
 0.12582	8.6575e-10
 0.12636	8.7570e-10
 0.12690	8.8584e-10
 0.12744	8.9616e-10
 0.12798	9.0661e-10
 0.12852	9.1725e-10
 0.12906	9.2807e-10
 0.12960	9.3900e-10
 0.13014	9.5002e-10
 0.13068	9.6110e-10
 0.13122	9.7220e-10
 0.13176	9.8336e-10
 0.13230	9.9453e-10
 0.13284	1.0058e-09
 0.13338	1.0172e-09
 0.13392	1.0286e-09
 0.13446	1.0400e-09
 0.13500	1.0514e-09
 0.13554	1.0629e-09
 0.13608	1.0743e-09
 0.13662	1.0857e-09
 0.13716	1.0971e-09
 0.13770	1.1118e-09
 0.13824	1.1391e-09
 0.13878	1.1924e-09
 0.13932	1.2874e-09
 0.13986	1.4344e-09
 0.14040	1.6312e-09
 0.14094	1.8623e-09
 0.14148	2.1062e-09
 0.14202	2.3450e-09
 0.14256	2.5685e-09
 0.14310	2.7734e-09
 0.14364	2.9607e-09
 0.14418	3.1325e-09
 0.14472	3.2890e-09
 0.14526	3.4287e-09
 0.14580	3.5546e-09
 0.14634	3.6697e-09
 0.14688	3.7856e-09
 0.14742	3.9106e-09
 0.14796	4.0529e-09
 0.14850	4.2078e-09
 0.14904	4.3577e-09
 0.14958	4.4994e-09
 0.15012	4.6287e-09
 0.15066	4.7493e-09
 0.15120	4.8690e-09
 0.15174	4.9891e-09
 0.15228	5.0980e-09
 0.15282	5.1820e-09
 0.15336	5.2348e-09
 0.15390	5.2627e-09
 0.15444	5.2764e-09
 0.15498	5.2818e-09
 0.15552	5.2843e-09
 0.15606	5.2857e-09
 0.15660	5.2860e-09
 0.15714	5.2869e-09
 0.15768	5.2912e-09
 0.15822	5.3041e-09
 0.15876	5.3301e-09
 0.15930	5.3716e-09
 0.15984	5.4262e-09
 0.16038	5.4873e-09
 0.16092	5.5479e-09
 0.16146	5.6042e-09
 0.16200	5.6565e-09
 0.16254	5.7075e-09
 0.16308	5.7597e-09
 0.16362	5.8139e-09
 0.16416	5.8683e-09
 0.16470	5.9221e-09
 0.16524	5.9747e-09
 0.16578	6.0267e-09
 0.16632	6.0799e-09
 0.16686	6.1358e-09
 0.16740	6.1937e-09
 0.16794	6.2518e-09
 0.16848	6.3081e-09
 0.16902	6.3619e-09
 0.16956	6.4138e-09
 0.17010	6.4642e-09
 0.17064	6.5121e-09
 0.17118	6.5570e-09
 0.17172	6.5979e-09
 0.17226	6.6345e-09
 0.17280	6.6681e-09
 0.17334	6.7013e-09
 0.17388	6.7360e-09
 0.17442	6.7722e-09
 0.17496	6.8086e-09
 0.17550	6.8444e-09
 0.17604	6.8794e-09
 0.17658	6.9135e-09
 0.17712	6.9469e-09
 0.17766	6.9798e-09
 0.17820	7.0121e-09
 0.17874	7.0439e-09
 0.17928	7.0753e-09
 0.17982	7.1069e-09
 0.18036	7.1393e-09
 0.18090	7.1732e-09
 0.18144	7.2089e-09
 0.18198	7.2463e-09
 0.18252	7.2852e-09
 0.18306	7.3256e-09
 0.18360	7.3682e-09
 0.18414	7.4136e-09
 0.18468	7.4624e-09
 0.18522	7.5147e-09
 0.18576	7.5699e-09
 0.18630	7.6274e-09
 0.18684	7.6869e-09
 0.18738	7.7480e-09
 0.18792	7.8107e-09
 0.18846	7.8752e-09
 0.18900	7.9310e-09
 0.18954	7.9642e-09
 0.19008	7.9578e-09
 0.19062	7.8993e-09
 0.19116	7.7940e-09
 0.19170	7.6662e-09
 0.19224	7.5483e-09
 0.19278	7.4623e-09
 0.19332	7.4126e-09
 0.19386	7.3907e-09
 0.19440	7.3857e-09
 0.19494	7.3882e-09
 0.19548	7.3930e-09
 0.19602	7.3982e-09
 0.19656	7.4036e-09
 0.19710	7.4089e-09
 0.19764	7.4143e-09
 0.19818	7.4197e-09
 0.19872	7.4251e-09
 0.19926	7.4305e-09
 0.19980	7.4359e-09
 0.20034	7.4414e-09
 0.20088	7.4469e-09
 0.20142	7.4524e-09
 0.20196	7.4580e-09
 0.20250	7.4636e-09
 0.20304	7.4693e-09
 0.20358	7.4749e-09
 0.20412	7.4807e-09
 0.20466	7.4864e-09
 0.20520	7.4922e-09
 0.20574	7.4980e-09
 0.20628	7.5039e-09
 0.20682	7.5098e-09
 0.20736	7.5157e-09
 0.20790	7.5217e-09
 0.20844	7.5277e-09
 0.20898	7.5337e-09
 0.20952	7.5398e-09
 0.21006	7.5460e-09
 0.21060	7.5522e-09
 0.21114	7.5585e-09
 0.21168	7.5648e-09
 0.21222	7.5712e-09
 0.21276	7.5777e-09
 0.21330	7.5842e-09
 0.21384	7.5908e-09
 0.21438	7.5975e-09
 0.21492	7.6042e-09
 0.21546	7.6110e-09
 0.21600	7.6178e-09
 0.21654	7.6248e-09
 0.21708	7.6318e-09
 0.21762	7.6390e-09
 0.21816	7.6462e-09
 0.21870	7.6535e-09
 0.21924	7.6607e-09
 0.21978	7.6679e-09
 0.22032	7.6749e-09
 0.22086	7.6816e-09
 0.22140	7.6882e-09
 0.22194	7.6947e-09
 0.22248	7.7010e-09
 0.22302	7.7073e-09
 0.22356	7.7136e-09
 0.22410	7.7198e-09
 0.22464	7.7261e-09
 0.22518	7.7323e-09
 0.22572	7.7384e-09
 0.22626	7.7446e-09
 0.22680	7.7507e-09
 0.22734	7.7568e-09
