Time	Current
 0.00000	2.8977e-09
 0.00054	3.6302e-09
 0.00108	4.3815e-09
 0.00162	5.0592e-09
 0.00216	5.5482e-09
 0.00270	5.7697e-09
 0.00324	5.7385e-09
 0.00378	5.4123e-09
 0.00432	4.9411e-09
 0.00486	4.3931e-09
 0.00540	3.9060e-09
 0.00594	3.6281e-09
 0.00648	3.6458e-09
 0.00702	3.9017e-09
 0.00756	4.2626e-09
 0.00810	4.6072e-09
 0.00864	4.8825e-09
 0.00918	5.0891e-09
 0.00972	5.2262e-09
 0.01026	5.3227e-09
 0.01080	5.3879e-09
 0.01134	5.4283e-09
 0.01188	5.4498e-09
 0.01242	5.4520e-09
 0.01296	5.4287e-09
 0.01350	5.3229e-09
 0.01404	5.1007e-09
 0.01458	4.7149e-09
 0.01512	4.1661e-09
 0.01566	3.5268e-09
 0.01620	2.9067e-09
 0.01674	2.4006e-09
 0.01728	2.0426e-09
 0.01782	1.8159e-09
 0.01836	1.6854e-09
 0.01890	1.6138e-09
 0.01944	1.5723e-09
 0.01998	1.5503e-09
 0.02052	1.5369e-09
 0.02106	1.5271e-09
 0.02160	1.5211e-09
 0.02214	1.5223e-09
 0.02268	1.5314e-09
 0.02322	1.5462e-09
 0.02376	1.5626e-09
 0.02430	1.5799e-09
 0.02484	1.5959e-09
 0.02538	1.6105e-09
 0.02592	1.6237e-09
 0.02646	1.6359e-09
 0.02700	1.6468e-09
 0.02754	1.6567e-09
 0.02808	1.6656e-09
 0.02862	1.6737e-09
 0.02916	1.6808e-09
 0.02970	1.6871e-09
 0.03024	1.6926e-09
 0.03078	1.6974e-09
 0.03132	1.7015e-09
 0.03186	1.7050e-09
 0.03240	1.7078e-09
 0.03294	1.7101e-09
 0.03348	1.7119e-09
 0.03402	1.7131e-09
 0.03456	1.7139e-09
 0.03510	1.7142e-09
 0.03564	1.7141e-09
 0.03618	1.7136e-09
 0.03672	1.7126e-09
 0.03726	1.7114e-09
 0.03780	1.7098e-09
 0.03834	1.7078e-09
 0.03888	1.7056e-09
 0.03942	1.7029e-09
 0.03996	1.6999e-09
 0.04050	1.6963e-09
 0.04104	1.6923e-09
 0.04158	1.6878e-09
 0.04212	1.6832e-09
 0.04266	1.6785e-09
 0.04320	1.6741e-09
 0.04374	1.6700e-09
 0.04428	1.6660e-09
 0.04482	1.6622e-09
 0.04536	1.6582e-09
 0.04590	1.6540e-09
 0.04644	1.6494e-09
 0.04698	1.6444e-09
 0.04752	1.6390e-09
 0.04806	1.6333e-09
 0.04860	1.6273e-09
 0.04914	1.6214e-09
 0.04968	1.6153e-09
 0.05022	1.6093e-09
 0.05076	1.6033e-09
 0.05130	1.5972e-09
 0.05184	1.5911e-09
 0.05238	1.5850e-09
 0.05292	1.5788e-09
 0.05346	1.5726e-09
 0.05400	1.5664e-09
 0.05454	1.5602e-09
 0.05508	1.5541e-09
 0.05562	1.5480e-09
 0.05616	1.5420e-09
 0.05670	1.5359e-09
 0.05724	1.5296e-09
 0.05778	1.5231e-09
 0.05832	1.5164e-09
 0.05886	1.5096e-09
 0.05940	1.5028e-09
 0.05994	1.4959e-09
 0.06048	1.4890e-09
 0.06102	1.4821e-09
 0.06156	1.4752e-09
 0.06210	1.4683e-09
 0.06264	1.4613e-09
 0.06318	1.4544e-09
 0.06372	1.4475e-09
 0.06426	1.4406e-09
 0.06480	1.4337e-09
 0.06534	1.4268e-09
 0.06588	1.4199e-09
 0.06642	1.4130e-09
 0.06696	1.4062e-09
 0.06750	1.3993e-09
 0.06804	1.3925e-09
 0.06858	1.3857e-09
 0.06912	1.3789e-09
 0.06966	1.3721e-09
 0.07020	1.3653e-09
 0.07074	1.3585e-09
 0.07128	1.3518e-09
 0.07182	1.3451e-09
 0.07236	1.3384e-09
 0.07290	1.3317e-09
 0.07344	1.3250e-09
 0.07398	1.3184e-09
 0.07452	1.3118e-09
 0.07506	1.3052e-09
 0.07560	1.2986e-09
 0.07614	1.2920e-09
 0.07668	1.2855e-09
 0.07722	1.2790e-09
 0.07776	1.2725e-09
 0.07830	1.2660e-09
 0.07884	1.2595e-09
 0.07938	1.2531e-09
 0.07992	1.2467e-09
 0.08046	1.2403e-09
 0.08100	1.2340e-09
 0.08154	1.2276e-09
 0.08208	1.2213e-09
 0.08262	1.2150e-09
