Time	Current
0.00000	1.6502e-12
0.00054	1.6259e-12
0.00108	1.6018e-12
0.00162	1.5778e-12
0.00216	1.5540e-12
0.00270	1.5304e-12
0.00324	1.5069e-12
0.00378	1.4836e-12
0.00432	1.4604e-12
0.00486	1.4375e-12
0.00540	1.4148e-12
0.00594	1.3922e-12
0.00648	1.3699e-12
0.00702	1.3478e-12
0.00756	1.3260e-12
0.00810	1.3043e-12
0.00864	1.2829e-12
0.00918	1.2618e-12
0.00972	1.2409e-12
0.01026	1.2203e-12
0.01080	1.2000e-12
0.01134	1.1799e-12
0.01188	1.1602e-12
0.01242	1.1407e-12
0.01296	1.1215e-12
0.01350	1.1027e-12
0.01404	1.0841e-12
0.01458	1.0659e-12
0.01512	1.0480e-12
0.01566	1.0305e-12
0.01620	1.0133e-12
0.01674	9.9643e-13
0.01728	9.7992e-13
0.01782	9.6377e-13
0.01836	9.4798e-13
0.01890	9.3256e-13
0.01944	9.1750e-13
0.01998	9.0282e-13
0.02052	8.8852e-13
0.02106	8.7459e-13
0.02160	8.6106e-13
0.02214	8.4791e-13
0.02268	8.3515e-13
0.02322	8.2278e-13
0.02376	8.1081e-13
0.02430	7.9921e-13
0.02484	7.8802e-13
0.02538	7.7720e-13
0.02592	7.6677e-13
0.02646	7.5672e-13
0.02700	7.4705e-13
0.02754	7.3776e-13
0.02808	7.2884e-13
0.02862	7.2029e-13
0.02916	7.1211e-13
0.02970	7.0428e-13
0.03024	6.9681e-13
0.03078	6.8969e-13
0.03132	6.8291e-13
0.03186	6.7647e-13
0.03240	6.7036e-13
0.03294	6.6458e-13
0.03348	6.5911e-13
0.03402	6.5397e-13
0.03456	6.4912e-13
0.03510	6.4456e-13
0.03564	6.4030e-13
0.03618	6.3632e-13
0.03672	6.3261e-13
0.03726	6.2917e-13
0.03780	6.2599e-13
0.03834	6.2306e-13
0.03888	6.2038e-13
0.03942	6.1793e-13
0.03996	6.1572e-13
0.04050	6.1372e-13
0.04104	6.0780e-13
0.04158	6.0353e-13
0.04212	6.0004e-13
0.04266	5.9724e-13
0.04320	5.9506e-13
0.04374	5.9345e-13
0.04428	5.9235e-13
0.04482	5.9172e-13
0.04536	5.9150e-13
0.04590	5.9167e-13
0.04644	5.9217e-13
0.04698	5.9298e-13
0.04752	5.9406e-13
0.04806	5.9539e-13
0.04860	5.9687e-13
0.04914	5.9841e-13
0.04968	6.0000e-13
0.05022	6.0164e-13
0.05076	6.0335e-13
0.05130	6.0509e-13
0.05184	6.0690e-13
0.05238	6.0875e-13
0.05292	6.1066e-13
0.05346	6.1262e-13
0.05400	6.1463e-13
0.05454	6.1669e-13
0.05508	6.1880e-13
0.05562	6.2097e-13
0.05616	6.2317e-13
0.05670	6.2542e-13
0.05724	6.2771e-13
0.05778	6.3005e-13
0.05832	6.3243e-13
0.05886	6.3485e-13
0.05940	6.3730e-13
0.05994	6.3979e-13
0.06048	6.4232e-13
0.06102	6.4487e-13
0.06156	6.4745e-13
0.06210	6.5006e-13
0.06264	6.5270e-13
0.06318	6.5535e-13
0.06372	6.5803e-13
0.06426	6.6072e-13
0.06480	6.6342e-13
0.06534	6.6614e-13
0.06588	6.6885e-13
0.06642	6.7158e-13
0.06696	6.7431e-13
0.06750	6.7703e-13
0.06804	6.7976e-13
0.06858	6.8247e-13
0.06912	6.8518e-13
0.06966	6.8787e-13
0.07020	6.9055e-13
0.07074	6.9321e-13
0.07128	6.9584e-13
0.07182	6.9846e-13
0.07236	7.0104e-13
0.07290	7.0360e-13
0.07344	7.0612e-13
0.07398	7.0861e-13
0.07452	7.1106e-13
0.07506	7.1348e-13
0.07560	7.1584e-13
0.07614	7.1817e-13
0.07668	7.2045e-13
0.07722	7.2268e-13
0.07776	7.2486e-13
0.07830	7.2699e-13
0.07884	7.2906e-13
0.07938	7.3108e-13
0.07992	7.3304e-13
0.08046	7.3494e-13
0.08100	7.3678e-13
0.08154	7.3856e-13
0.08208	7.4028e-13
0.08262	7.4194e-13
0.08316	7.4354e-13
0.08370	7.4507e-13
0.08424	7.4653e-13
0.08478	7.4793e-13
0.08532	7.4927e-13
0.08586	7.5054e-13
0.08640	7.5174e-13
0.08694	7.5287e-13
0.08748	7.5395e-13
0.08802	7.5495e-13
0.08856	7.5589e-13
0.08910	7.5676e-13
0.08964	7.5758e-13
0.09018	7.5832e-13
0.09072	7.5900e-13
0.09126	7.5962e-13
0.09180	7.6018e-13
0.09234	7.6067e-13
0.09288	7.6111e-13
0.09342	7.6148e-13
0.09396	7.6180e-13
0.09450	7.6206e-13
0.09504	7.6227e-13
0.09558	7.6241e-13
0.09612	7.6251e-13
0.09666	7.6255e-13
0.09720	7.6253e-13
0.09774	7.6247e-13
0.09828	7.6237e-13
0.09882	7.6220e-13
0.09936	7.6199e-13
0.09990	7.6174e-13
0.10044	7.6144e-13
0.10098	7.6111e-13
0.10152	7.6072e-13
0.10206	7.6029e-13
0.10260	7.5981e-13
0.10314	7.5929e-13
0.10368	7.5873e-13
0.10422	7.5814e-13
0.10476	7.5750e-13
0.10530	7.5683e-13
0.10584	7.5612e-13
0.10638	7.5539e-13
0.10692	7.5462e-13
0.10746	7.5383e-13
0.10800	7.5301e-13
0.10854	7.5215e-13
0.10908	7.5128e-13
0.10962	7.5039e-13
0.11016	7.4946e-13
