Time	Current
0.00000	1.1698e-10
0.00054	1.1773e-10
0.00108	1.1849e-10
0.00162	1.1926e-10
0.00216	1.2003e-10
0.00270	1.2080e-10
0.00324	1.2158e-10
0.00378	1.2237e-10
0.00432	1.2316e-10
0.00486	1.2395e-10
0.00540	1.2475e-10
0.00594	1.2555e-10
0.00648	1.2636e-10
0.00702	1.2717e-10
0.00756	1.2798e-10
0.00810	1.2880e-10
0.00864	1.2962e-10
0.00918	1.3044e-10
0.00972	1.3127e-10
0.01026	1.3209e-10
0.01080	1.3292e-10
0.01134	1.3376e-10
0.01188	1.3459e-10
0.01242	1.3543e-10
0.01296	1.3626e-10
0.01350	1.3710e-10
0.01404	1.3793e-10
0.01458	1.3877e-10
0.01512	1.3960e-10
0.01566	1.4044e-10
0.01620	1.4127e-10
0.01674	1.4210e-10
0.01728	1.4293e-10
0.01782	1.4375e-10
0.01836	1.4457e-10
0.01890	1.4539e-10
0.01944	1.4620e-10
0.01998	1.4701e-10
0.02052	1.4781e-10
0.02106	1.4861e-10
0.02160	1.4940e-10
0.02214	1.5019e-10
0.02268	1.5097e-10
0.02322	1.5174e-10
0.02376	1.5250e-10
0.02430	1.5325e-10
0.02484	1.5399e-10
0.02538	1.5473e-10
0.02592	1.5545e-10
0.02646	1.5617e-10
0.02700	1.5687e-10
0.02754	1.5756e-10
0.02808	1.5824e-10
0.02862	1.5891e-10
0.02916	1.5957e-10
0.02970	1.6021e-10
0.03024	1.6084e-10
0.03078	1.6146e-10
0.03132	1.6206e-10
0.03186	1.6265e-10
0.03240	1.6323e-10
0.03294	1.6379e-10
0.03348	1.6434e-10
0.03402	1.6487e-10
0.03456	1.6538e-10
0.03510	1.6589e-10
0.03564	1.6637e-10
0.03618	1.6684e-10
0.03672	1.6730e-10
0.03726	1.6774e-10
0.03780	1.6816e-10
0.03834	1.6857e-10
0.03888	1.6897e-10
0.03942	1.6934e-10
0.03996	1.6971e-10
0.04050	1.7005e-10
0.04104	1.7046e-10
0.04158	1.7083e-10
0.04212	1.7118e-10
0.04266	1.7151e-10
0.04320	1.7182e-10
0.04374	1.7211e-10
0.04428	1.7238e-10
0.04482	1.7263e-10
0.04536	1.7286e-10
0.04590	1.7307e-10
0.04644	1.7327e-10
0.04698	1.7345e-10
0.04752	1.7361e-10
0.04806	1.7376e-10
0.04860	1.7389e-10
0.04914	1.7401e-10
0.04968	1.7411e-10
0.05022	1.7420e-10
0.05076	1.7427e-10
0.05130	1.7434e-10
0.05184	1.7439e-10
0.05238	1.7442e-10
0.05292	1.7445e-10
0.05346	1.7446e-10
0.05400	1.7447e-10
0.05454	1.7446e-10
0.05508	1.7444e-10
0.05562	1.7441e-10
0.05616	1.7437e-10
0.05670	1.7433e-10
0.05724	1.7427e-10
0.05778	1.7420e-10
0.05832	1.7413e-10
0.05886	1.7405e-10
0.05940	1.7396e-10
0.05994	1.7386e-10
0.06048	1.7375e-10
0.06102	1.7364e-10
0.06156	1.7351e-10
0.06210	1.7339e-10
0.06264	1.7325e-10
0.06318	1.7311e-10
0.06372	1.7296e-10
0.06426	1.7281e-10
0.06480	1.7265e-10
0.06534	1.7248e-10
0.06588	1.7231e-10
0.06642	1.7213e-10
0.06696	1.7195e-10
0.06750	1.7176e-10
0.06804	1.7157e-10
0.06858	1.7137e-10
0.06912	1.7117e-10
0.06966	1.7097e-10
0.07020	1.7075e-10
0.07074	1.7054e-10
0.07128	1.7032e-10
0.07182	1.7010e-10
0.07236	1.6987e-10
0.07290	1.6964e-10
0.07344	1.6941e-10
0.07398	1.6917e-10
0.07452	1.6893e-10
0.07506	1.6868e-10
0.07560	1.6844e-10
0.07614	1.6819e-10
0.07668	1.6793e-10
0.07722	1.6768e-10
0.07776	1.6742e-10
0.07830	1.6716e-10
0.07884	1.6689e-10
0.07938	1.6663e-10
0.07992	1.6636e-10
0.08046	1.6608e-10
0.08100	1.6581e-10
0.08154	1.6553e-10
0.08208	1.6526e-10
0.08262	1.6498e-10
0.08316	1.6469e-10
0.08370	1.6441e-10
0.08424	1.6412e-10
0.08478	1.6384e-10
0.08532	1.6355e-10
0.08586	1.6326e-10
